INMATEID,ADMITTED_DT,DISCHARGED_DT,CUSTODY_LEVEL,BRADH,RACE,GENDER,AGE,INMATE_STATUS_CODE,SEALED,SRG_FLG,TOP_CHARGE,INFRACTION,Penal Law OFFENSE,CLASS,CODE,DAYS_SINCE_ADMISSION
20214521,06/18/2021 12:28:58 AM,,MAX,Y,B,M,19.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,163
20134406,06/18/2021 12:30:43 PM,,MAX,Y,B,M,36.0,DEP,N,N,130.65,N,Sexual abuse in the first degree,D Violent Felony,130.65,163
20153365,06/18/2021 12:38:02 AM,,MED,N,B,M,22.0,DE,N,Y,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,163
20199772,06/18/2021 12:39:53 AM,,MAX,N,B,M,23.0,DE,N,N,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,163
115775,06/18/2021 12:42:33 PM,,MED,Y,W,M,41.0,DE,N,N,160.15,Y,Robbery in the first degree,B Violent Felony,160.15,163
20210141,06/18/2021 12:52:59 AM,,MAX,N,O,M,20.0,DE,N,N,110-125.25,Y,,,,163
20192335,06/19/2018 06:29:16 PM,,MAX,Y,B,M,20.0,DE,N,Y,105.15,Y,Conspiracy in the second degree,B Felony,105.15,1258
20184639,06/19/2018 12:53:09 AM,,MAX,Y,O,M,25.0,DE,N,Y,140.30,Y,Burglary in the first degree,B Violent Felony,140.30,1258
20210324,06/19/2020 01:16:21 PM,,MED,Y,B,M,33.0,DE,N,N,110-130.35,N,,,,527
20210321,06/19/2020 01:21:07 AM,,MAX,Y,B,M,30.0,DE,N,Y,110-125.25,Y,,,,527
74063,06/19/2020 01:36:05 AM,,MIN,Y,B,M,49.0,DE,N,N,110-120.10,N,,,,527
31120,06/19/2020 05:17:59 PM,,MAX,Y,B,M,36.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,527
20132992,06/19/2020 11:21:40 PM,,MED,Y,O,M,35.0,DE,N,N,120.05,Y,Assault in the second degree,D Violent Felony,120.05,527
20138689,06/19/2020 12:37:15 AM,,MAX,Y,B,M,24.0,DE,N,Y,140.25,Y,Burglary in the second degree,C Violent Felony,140.25,527
20099750,06/19/2020 12:51:50 AM,,MAX,Y,W,M,31.0,DE,N,N,160.15,Y,Robbery in the first degree,B Violent Felony,160.15,527
20141983,06/19/2021 01:18:55 PM,,MED,N,O,M,26.0,DE,N,N,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,162
143217,06/19/2021 01:23:06 PM,,MIN,N,B,M,43.0,DE,N,N,110-120.10,N,,,,162
20025003,06/19/2021 01:45:53 AM,,MED,Y,B,M,53.0,DE,N,N,130.65,N,Sexual abuse in the first degree,D Violent Felony,130.65,162
20139782,06/19/2021 04:21:00 PM,,MAX,Y,B,M,24.0,DE,N,N,140.30,Y,Burglary in the first degree,B Violent Felony,140.30,162
60523,06/19/2021 04:28:00 PM,,MIN,Y,B,M,36.0,DE,N,N,120.05,N,Assault in the second degree,D Violent Felony,120.05,162
20195084,06/19/2021 04:48:20 PM,,MAX,N,B,M,24.0,DE,N,N,110-125.25,Y,,,,162
20214547,06/19/2021 05:02:08 PM,,MED,Y,B,M,22.0,DE,N,N,130.52,Y,Forcible touching,A Misdemeanor,130.52,162
20197758,06/19/2021 06:22:03 PM,,MAX,Y,B,M,20.0,DE,N,Y,160.15,N,Robbery in the first degree,B Violent Felony,160.15,162
104916,06/19/2021 07:10:29 PM,,MIN,N,O,M,60.0,DE,N,N,140.25,N,Burglary in the second degree,C Violent Felony,140.25,162
20194664,06/19/2021 10:41:16 PM,,MAX,N,B,M,20.0,DE,N,Y,160.15,Y,Robbery in the first degree,B Violent Felony,160.15,162
20214551,06/19/2021 11:32:00 PM,,MIN,Y,A,M,54.0,DE,N,N,110-125.25,N,,,,162
20108705,06/19/2021 11:42:09 AM,,MAX,N,B,M,24.0,DEP,N,Y,265.02,N,Criminal possession of a weapon in the third degree,D Violent Felony,265.02,162
20182037,06/19/2021 12:02:52 AM,,MAX,N,O,M,22.0,DE,N,N,265.03,Y,Criminal possession of a weapon in the second degree,C Violent Felony,265.03,162
82902,06/19/2021 12:24:38 AM,,MED,N,B,M,37.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,162
152697,06/19/2021 12:38:00 PM,,MIN,Y,W,M,49.0,DE,N,N,160.15,N,Robbery in the first degree,B Violent Felony,160.15,162
20014324,06/20/2018 03:37:34 AM,,MAX,N,B,M,30.0,DE,N,N,125.25,Y,Murder in the second degree,A-I Felony,125.25,1257
20196017,06/20/2018 07:48:43 PM,,MAX,Y,B,M,21.0,DE,N,Y,125.25,Y,Murder in the second degree,A-I Felony,125.25,1257
